职位名称,公司名称,公司类型,公司规模,薪酬,学历,工作经验,是否全职,职位页面,岗位职责
IT培训讲师（Python）,中公教育上海分公司,民营,100-499人,6K-12K,本科,不限,全职,https://jobs.zhaopin.com/217000521272877.htm,"我们需要你：1、完成相关的教学资料（实训大纲、教学PPT、教学用书、教学案例等）的研发工作；2、按照教学规范和教学大纲高质量完成Python课程的授课任务；3、带领学员参加实训并指导学员完成实操项目；4、根据学生及市场需要，高质量完成公开课、讲座、网络直播课等授课任务；5、结合搜索引擎的发展变化，实时改进教学方法，完善教学体系；6、完成课程辅导工作，解答学员课程疑问，保证学员的学习质量；7、配合其它部门和集团完成相关工作。我们只希望你：1、 热爱教育行业，计算机相关专业，大学本科及以上学历，两年或以上工作经验；2、 较好的心理素质，能够承受压力，具有较强的事业心与团队协作精神；3、 表达能力强，声音清晰自然，个性开朗，乐于与人交流；4、 熟练掌握大数据相关算法与数据结构；5、 精通Java语言开发经验，特别是数据库和多线程开发，熟悉常见的Java开发框架及开发能力；6、 熟练掌握Python编程语言与机器学习框架；7、 理解框架的设计思想及实现，具有良好的代码风格、接口设计与程序架构；8、 2年（含）以上对于Hadoop、Hive、Impala, Hbase、Spark、Sqoop有实际的编码能力和海量数据的自动化分析处理项目经验；9、  熟悉主流分布式处理框架，基于Hadoop的数据挖掘、大数据组件开发和封装；10、有一年以上教学经验者优先考虑。当然，我们将给予你丰厚的福利，广阔的发展~来中公，你将拥有：1、薪资标准：根据实际授课能力、面试表现以及学历背景等确定具体薪酬，年薪12万起，上不封顶；2、基本福利：五险一金+带薪假期(年假、婚假、产检假、产假、每天1小时哺乳假)+年终奖+带薪培训+阳光互助基金等；3、文娱福利：年度体检+年度旅游+员工健身房+员工餐厅等；4、特殊福利：工作地点双向选择，31家省级研究院遍布全国范围内，公司会充分尊重员工对工作地点选择的意愿；5、长期激励计划：股权激励；And more......更多精彩等你来~招聘城市：全国省会城市及直辖市"
自动化测试(Python/shell),瞬联讯通科技(北京)有限公司,外商独资,1000-9999人,11K-15K,本科,1-3年,全职,https://jobs.zhaopin.com/CC230292410J00153653713.htm,"职责：1)测试用例设计与开发;2)平台功能及性能测试;3)测试执行、分析及报告;4) Bug分类和分析;资格:o 2年以上软件验证和/或开发经验;o熟悉Linux操作和shell/Python编程;有Linux内核经验者优先;o有Rtos经验，Posix优先;o需要良好的沟通技巧"
Python开发工程师,瞬联讯通科技(北京)有限公司,外商独资,1000-9999人,10K-18K,本科,3-5年,全职,https://jobs.zhaopin.com/CC230292410J00055615013.htm,"岗位职责：Python后台开发职位要求：统招本科（一本、二本）及以上学历，计算机相关专业，3年以上Python后台开发经验。1.计算机等相关专业本科及以上学历，若能力较强可放宽标准；2.扎实的计算机基础理论基础，对常见数据结构和面向对象设计有深入理解；3.熟悉Python以及Python Web开发框架如Django，flask等，具有一年及以上项目实战经验；4.熟悉MySQL/Oracle/Redis等其他一些结构化/非结构化数据库的应用；"
R/Python中高级大数据开发工程师-外派,上海微创软件股份有限公司,合资,1000-9999人,14K-17K,本科,3-5年,全职,https://jobs.zhaopin.com/CC000638929J00408651505.htm,"职责描述：1、    参与构建数据分析和数据挖掘体系，实现对公司运营数据的监控和价值挖掘；2、    参与客户画像建模，利用数据挖掘工具进行用户细分、用户偏好、互联网行为等研究，构建完整的客户画像体系3、    参与精准推荐项目算法模型的分析工作4、    参与大数据挖掘系统的设计和实现任职要求：1、    全日制计算机、数学、统计、金融等相关专业本科以上学历2、    具有良好的统计学、数学和数据挖掘知识基础3、    1年以上数据挖掘项目经验，3-5年相关研发工作经验4、    掌握至少一种统计分析和数据挖掘软件(R/Python)5、    有互联网背景，有网站用户行为研究经验优先6、    能够主动获取新知识，有系统性解决问题能力，有较强的进取精神7、    善于团队间沟通协调"
Python大数据开发工程师(浦东）,上海微创软件股份有限公司,合资,1000-9999人,12K-16K,本科,3-5年,全职,https://jobs.zhaopin.com/CC000638929J00411098305.htm,"职责描述：1、    参与构建数据分析和数据挖掘体系，实现对公司运营数据的监控和价值挖掘2、    参与客户画像建模，利用数据挖掘工具进行用户细分、用户偏好、互联网行为等研究，构建完整的客户画像体系3、    参与精准推荐项目算法模型的分析工作4、    参与大数据挖掘系统的设计和实现任职要求：1、    全日制计算机、数学、统计、金融等相关专业本科以上学历2、    具有良好的统计学、数学和数据挖掘知识基础3、    1年以上数据挖掘项目经验，3-5年相关研发工作经验4、    掌握至少一种统计分析和数据挖掘软件(R/Python)5、    有互联网背景，有网站用户行为研究经验优先6、    能够主动获取新知识，有系统性解决问题能力，有较强的进取精神7、    善于团队间沟通协调"
急：Python开发工程师,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,薪资面议,本科,3-5年,全职,https://jobs.zhaopin.com/CC508620126J00296851305.htm,"1.熟悉 python编程,有大型项目开发经验2.熟悉 python多进程、多线程、分布式应用开发,3.熟悉tornado, django, web.py等网络开发框架4.熟悉前端开发,熟悉js/css/html编写,至少熟悉一种前端框架5.熟练使用git、svn、jira等协助工具6.熟悉操作使用1inux操作系统的,熟悉网络知识如http,tcp/ip协议有开源 github项目、个人博客或StackOverflow较高积分者加分"
Python web 开发工程师,东软云科技有限公司,合资,1000-9999人,10K-15K,本科,3-5年,全职,https://jobs.zhaopin.com/CC663299424J00321138307.htm,"1、熟练使用python，至少两至三年以上开发经验；2、熟悉常见python web框架，像django,flask等至少其中一种使用经验；3、熟悉基于restful Framework 开发api；4、熟悉前端HTML, JavaScript/JQuery ,CSS技术，能用已有的前端开源框架快速构建系统模块；5、能独挡一面，能独立完成从前端到后端整个流程的模块设计和功能实现；6、能够完成自己开发模块和他人开发模块的测试，善于沟通和有效反馈；7、Advance, big plus capability；熟悉C#， 有一年以上开发经验的优先；8、 熟悉自动化测试框架，了解STAF框架的优先。"
急：python开发,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,薪资面议,大专,3-5年,全职,https://jobs.zhaopin.com/CC508620126J00394403505.htm,"（1 )有p y t h o n项目开发及上线经验（2 )有NginxNginx，FlaskFlask等开发经验（3)做过模型上线项目加分（4)做过rasa对话项目加分（1)熟 练 使 用 pytorch开 发 模 型 ， （ 2 ) 对 机 器 学 习 和 深 度 学 习 的概念有清晰的理解，（3)有NLP项目经验（4)有模型上线经验加分^1、 教育程度：本科及以上学历，信息技术、信息安全、软件、统计学、应用数学、金融数学、人工智能、自动化等相关专业。2、 3年以上应用系统架构设计和开发管理经验， 至1年知识图谱构建和实施经验，至少成功实现过1项知识图谱系统，有一定技术团队管理经验和项目管理经验3、 熟悉使用Neo4j, AllegroGraph等图数据库中的一种，有图数据库开发经验;4、 熟悉RDF.OWL等知识表示语言，掌握Protege等本体建模工具；5、 熟悉知识抽取、知识融合和知识推理等基本算法和流程；6、 熟悉深度学习算法，熟练使用至少1^种深度学习框架；熟悉自然语言处理基论和相关技术7、 有基于知识图谱问答系统开发经验者优先"
python开发工程师,深圳市睿服科技有限公司,股份制企业,500-999人,10K-15K,本科,3-5年,全职,https://jobs.zhaopin.com/CC603465980J00391526707.htm,"1、熟悉 python编程,有大型项目开发经验；2、熟悉 python多进程、多线程、分布式应用开发；3、熟悉do, django,web.py等网络开发框架；4、熟悉前端开发,熟悉js/css/htm编写,至少熟悉一种前端框架；5、熟练使用git、swn、jra等协助工具；6、熟悉操作使用1inu操作系统的,熟悉网络知识如httptcpip协议；7、有开源 github项目、个人博客或 Stackoverf1ow较高积分者加分。"
急：Python助理/初级,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,薪资面议,大专,1-3年,全职,https://jobs.zhaopin.com/CC508620126J00295839505.htm,"1.专科1年经验起，最好是计算机相关专业（本科接受半年以上经验）2.懂前端JS，熟悉Python爬虫， 主要工作是数据标注。3.自学能力较强者优先考虑，4.学习能力强，主动性强，沟通良好，有团队精神。"
python高级工程师 上海,亚信科技(中国)有限公司,民营,10000人以上,10K-20K,本科,3-5年,全职,https://jobs.zhaopin.com/CC139131348J00190615013.htm,"1. 本科以上学历，3年以上Python相关经验；2. 熟练使用正则表达式、css path、xpath等，能够从结构化的和非结构化的数据中获取信息；3. 熟练使用MySQL数据库，掌握redis、mongodb、hive等常用nosql技术并具有实战经验；4. 熟悉各种抓取框架，有scrapy,splash和selenium之一项目经验；5、熟悉Git，Jenkins、Jira等工具和集成5. 熟悉整个爬虫的设计及实现流程，有从事网络爬虫、网页信息抽取开发经验，熟悉反爬虫技术，有分布式爬虫架构经验；6. 快速学习能力，工作积极主动，有创业热情和良好的团队协助能力；"
python开发,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,薪资面议,本科,3-5年,全职,https://jobs.zhaopin.com/CC508620126J00406318005.htm,"1、计算机相关专业2、了解基本的Linux命令3、了解基本的python代码4、python/java/go语言熟练使用一种5、3-5年工作经验6、有作为主程，开发运维相关系统为佳，对技术有钻研精神，勤奋，执着，对自己的产品有工匠精神"
python开发,中软国际科技服务有限公司深圳分公司,上市公司,10000人以上,薪资面议,本科,3-5年,全职,https://jobs.zhaopin.com/CC508620126J00427805705.htm,"1、 熟悉phthon语言基础，3年以上python项目开发经验2、 熟悉Django，flask等应用框架3、 熟悉常见的设计模式4、 掌握Mysql，MongoDB，redis的使用，了解Kafka、RabbitMQ等消息队列5、 熟悉Linux常用操作，了解Docker使用更好6、 有架构设计、接口设计的能力与经验7、 兼具独立开发与写作开发的工作能力"
python开发工程师,大连斯锐信息技术有限公司,股份制企业,1000-9999人,15K-20K,大专,3-5年,全职,https://jobs.zhaopin.com/CC424188188J00307888203.htm,"Python语言工程师评估标准n  计算机相关专业，大学专科及以上学历n  至少三年以上python语言应用开发经验n  精通Django或者其它Python web开发框架n  熟悉Operstack API、Hadoop、HBase等技术以及开发n  熟悉Zabbix、Saltstack、Puppet等技术n  熟悉mysql、MongoDB、LevelDB、Linux系统n  熟悉主流的通信机制jms、cxf等n  熟悉消息中间件activemq、qpid等n  有良好的编码习惯及开发文档书写习惯"
资深python开发工程师,上海点晟信息科技有限公司,民营,100-499人,15K-25K,大专,3-5年,全职,https://jobs.zhaopin.com/CC570037530J00070744602.htm,"岗位职责：1、 模块功能的设计、开发与实施；2、承担产品经理或指导人布置的工作任务；3、承担项目和需求的开发、单元测试、上线维护等任务；4、 编写相关工作的需求分析档案、配置文档和程序说明文。5、完成上级主管分配的工作任务、并达到公司制度规定的考核要求。任职要求：1、 3年以上后端端开发经验；2、熟悉Python、B/S开发模式，熟练使用 Django、Flask等主流框架；3、 熟悉SQL，使用过Postgresq、lMySQL、Oracle等任意一种数据库;4、熟悉Redis/MemCache，RabbitMQ/ActiveMQ/ZeroMQ，ZooKeeper等底层中间件及分布式技术；5、掌握Linux操作系统常用命令，熟悉Nginx, Apache等应用服务器中的至少一种6、熟悉设计模式；掌握面向对象软件分析、设计方法，并能熟练应用UML及工具进行设计；7、思路清晰、善于思考、能独立分析和解决问题;优先录取以下人员：1、 熟练使用JS、HTML5技术, jQuery等前端框架优先；2、熟悉金融行业相关开发经验者优先;3、有敏捷开发经验优先;4、习惯 MacOS X 或 Linux 的工作环境5、良好的英文能力6、熟练使用Java， C++，但有意愿转Python开发也可考虑"
Python工程师,上海怡科信息科技有限公司,民营,500-999人,6K-8K,大专,不限,全职,https://jobs.zhaopin.com/562244523362330.htm,"岗位职责:1.后端实现，保障稳定性、性能。包括需求分析分解、设计、开发;2.与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成;3.处理服务端开发中的常见问题;任职要求:1.计算机等相关专业的专科以上学历；2.熟练使用 Python 及 Linux环境，Redis、MySQL数据；3.熟悉敏捷开发；4.具备良好的团队合作和沟通能力，具备良好的学习钻研能力；5.优越的办公环境，朝九晚六周末双休；"
python工程师-上海,北京神州新桥科技有限公司,民营,500-999人,12.5K-25K,本科,3-5年,全职,https://jobs.zhaopin.com/CC120101090J00159533215.htm,"岗位职责:1.负责api应用的设计，开发，测试和发布。 搭建系统开发环境，完成系统代码的编写；2.负责系统架构的设计，组件的选型，文档的编写；3.参与数据etl设计开发；4.负责公司应用系统的日常维护。岗位要求：1.优秀本科学校毕业，及以上学历，计算机相关专业；2.精通Python开发，3年以上Python项目研发经验，至少有2个以上独立项目经验。熟悉http，https协议，熟悉tcp协议，熟悉常用存储系统:MySQL、Redis等；熟悉kafka或者其他同类产品 熟悉Unix/Linux系统； 熟悉常用数据结构和算法；3.熟悉Django web，django restful开发测试框架。有实际项目经验者优先。有较强的学习，沟通和团队协作能力。能独立完成任务；4.熟练使用python的常用库，熟悉Numpy，pandas；5.熟悉linux 操作系统，能够熟练进行软件安装，系统管理；6.至少熟悉一种常用的如cdh 、星环、华为大数据平台，能够独立完成平台的搭建；7. 熟悉常用的大数据组件hive ，hbase,impala,hdfs,hue,spark,yarn,等组件的使用和工作原理；8.熟悉常用的关系型数据库mysql,oracle等，熟练编写常用的sql；9. 熟悉Python的高级特性，深入理解各种设计模式和应用场景；10. 热爱软件研发工作，学习能力强。"
python开发工程师,三门峡崤云安全服务有限公司,国企,20-99人,6K-12K,大专,3-5年,全职,https://jobs.zhaopin.com/CC701650830J00206861911.htm,"岗位职责：1.项目的架构设计，核心模块的开发工作；2. 系统需求分析与设计，并负责完成核心代码，接口规范制定;3. 后台系统新需求的开发；4. 产品运营系统设计与核心模块开发；5. 负责公司WEB后台管理系统的开发、优化、维护6. 善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识7. 持续关注新技术，引入并优化前端的质量、性能、用户体验8. 遵循公司安全标准，并确保按时按质按量完成代码实现和单元测试岗位要求：1.精通python开发，3年以上开发经验;2. 精通linux系统高并发开发4. 熟悉python扩展模块优先5. 熟悉HTML5/CSS3/JavaScript等前端技术优先6. 熟练vue/iview等前端技术优先8. 任心强，良好的沟通能力以及团队协作能力。"
Python数据分析工程师-ADAS,北京经纬恒润科技有限公司海淀分公司,民营,1000-9999人,13K-26K,本科,1-3年,全职,https://jobs.zhaopin.com/CC443446127J00142748013.htm,"岗位职责:1. 负责底层数据库配置文件以及二进制数据的解析与写入；2. 负责流式数据服务器的设计与搭建3. 负责流式数据分析架构的设计与开发；任职资格:1. 本科及以上学历，计算机、汽车、控制或相关专业；2. 3年以上Python/C++/C开发经验，包含至少 1年以上的数据分析相关经验；3. 对MySQL及任意一个NoSQL有深入的了解；4. 做事具有条理性，具有良好的自学能力、分析问题以及解决问题的能力；5. 熟练掌握多进程/多线程技术，具有大规模分布式系统开发经验者，从事过汽车电子相关工作优先。"
python开发工程师,任仕达企业管理(上海)有限公司深圳分公司,外商独资,100-499人,15K-25K,本科,3-5年,全职,https://jobs.zhaopin.com/CC517656180J00389416203.htm,"岗位职责：1、 负责基于深度学习的医疗产品项目的设计、开发、单元测试、集成等工作2、 参与相关需求分析，理解产品经理需求并敏捷实现3、 参与数据库模型设计，针对性能瓶颈进行优化4、 参与新技术研究学习及应用任职要求：1、 计算机相关专业，或者生物医学工程相关专业毕业, 本科及以上学历,三年以上工作经验2、 熟悉常用数据结构和算法, 熟悉 Python 语言，3 年以上 Python 项目开发经验，熟悉Java/nodejs/golang/Scala 等语言者优先,熟悉OOP有良好的代码风格优先3、 熟悉 Flask或 Django 等主流web框架，并至少深度使用其中一种开发较大规模项目4、 理解多线程、socket相关技术，有大规模分布式系统的开发和高可用相关的实践经验5、 熟悉至少一种关系型数据库（Mysql、Postgresql）、了解至少一种 Nosql 数据库（Redis、Mongodb）6、 熟悉Internet常用协议，如HTTP、TCP/IP、熟悉RESTful规范7、 熟悉 Docker或kubernets自动化运维实践8、 了解深度学习，有CUDA和tensorflow的使用经验优先9、 具备良好的编码规范、学习能力，有独立分析解决问题能力，工作认真负责，沟通协作意识良好，能够承担工作压力"
AliCloud Python Tech Lead,高知特信息技术上海有限公司,外商独资,10000人以上,30K-50K,本科,5-10年,全职,https://jobs.zhaopin.com/CC134189873J00310654004.htm,"Job Description·         Analyze business requirements and software design with the system architecture.·         Provide design for the solution architecture.·         Design software solution in robust and scalable·         Break down design solution into modules and achievable smaller tasks.·         Present and communicate solution to customer and team·         Able to debug and provide solutions for complicated issues·         Participate in demos to customer and team·         Drive the team technically and provide the inputs to the team.·         Participate in reviews and find the improvements.·         Participate build Python application package code and deployment (CI/CD)Job Requirements (Please specify mandatory skills, additional skills)·         Experience with Ali cloud environment IoT platform with DPS, IoT Hub, Event Hub, Service Bus,·         Experience in Alibaba Table storage, Alibaba OSS·         Hands on experience in Python, Developing and using RESTful APIs, ORM, web framework, test framework·         Docker (microservices),·         Knowledge on load balancer NGINX to manage traffic load.·         Azure as DevOps and scrum framework.·         Kubernetes framework to run distributed system"
Python数据分析工程师-ADAS,北京经纬恒润科技有限公司海淀分公司,民营,1000-9999人,13K-22K,本科,不限,全职,https://jobs.zhaopin.com/CC443446127J00156572213.htm,"岗位职责：1. 负责底层数据库配置文件以及二进制数据的解析与写入；2. 负责流式数据服务器的设计与搭建；3. 负责流式数据分析架构的设计与开发。任职要求：1. 本科及以上学历，计算机、汽车、控制或相关专业；2. 3年以上Python/C++/C开发经验，包含至少 1年以上的数据分析相关经验；3. 对MySQL及任意一个NoSQL有深入的了解；4. 做事具有条理性，具有良好的自学能力、分析问题以及解决问题的能力；5. 熟练掌握多进程/多线程技术，具有大规模分布式系统开发经验者，从事过汽车电子相关工作优先。"
影像识别开发工程师(python，英语会话熟练),大连智桥科技有限公司,民营,20-99人,10K-15K,硕士,不限,全职,https://jobs.zhaopin.com/CC825034000J00168494709.htm,"职责描述：1. 开展计算机视觉/深度学习/图像识别等相关领域研究和开发工作；2. 负责或参与机器学习平台搭建，包括深度学习和图像处理等；3. 相关算法说明文档，测试报告，专利说明书的编写4. 完成相关算法的程序和测试程序的开发任职要求：1.计算机、电子、自动化、数学等相关专业研究生以上学历。2.有较强的算法分析和实现能力，熟练掌握Python编程语言3.熟悉传统的计算机视觉理论，熟悉OpenCV库，4.熟悉机器学习、深度学习、计算机视觉方向的理论和算法。熟练掌握图像处理和模式识别的基本算法，并在如下一个或多个相关方向有深入研究：目标检测、目标跟踪、目标识别、几何图像校正、图像特征提取、图像分割和图像质量评价等；5. 有GPU, CUDA并行计算开发经验，有编写深度学习算法的丰富实践经验；6.熟悉至少一种深度学习框架(TensorFlow/Caffe/MXNet/PyTorch/Keras/Theano等)7.在图像识别、目标检测、图像分割有一项或多项的项目经验，在视频分析中，有参加人的属性和行为分析，以及运动目标轨迹分析等项目开发经验者优先；8.良好的分析和解决问题的能力，对前沿技术有热情，有良好的团队合作精神"
python开发助理 双休,上海煜喜环保科技有限公司,不限,100-499人,6K-8K,大专,不限,全职,https://jobs.zhaopin.com/CZ714068380J00122156907.htm,"岗位职责：1、Python开发为主，负责基于Java架构的运营商系统架构分析、设计，配合技术团队完成产品研发；2、参与制定设计及实现规范，指导设计、实现及部署工作；4、配合进行技术决策，进行技术风险评估；5、协助其他工程师解决关键问题；任职要求：1、大专及以上学历，计算机科学与技术、网络工程、信息系统与管理等计算机相关专业，应届生优先；2、了解运用计算机基本操作，有责任感，团队意识强，有较好的学习能力者；3、协助工程师对项目的研发、手机App以及项目网站的开发；4、有良好的团队合作精神和严谨工作态度；5、了解基本编程语言。福利待遇1、正式入职3000-6000/月，额外项目奖金提成。2、为员工购买五险一金，让员工无后顾之忧；3、公司设立良好的晋升机制并提供内部招聘、职位轮换机会；4、一年至少2次调薪机会；5、五天七小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！"
自动化实施（shell/python）,北京中亦安图科技股份有限公司,民营,100-499人,8K-10K,本科,1-3年,全职,https://jobs.zhaopin.com/CC148106168J00040895811.htm,"岗位职责：结合解决方案团队的运维工具实施项目，例如IT监控、应用性能监控（APM）、自动化运维、作业调度、海量日志分析、数据挖掘和数据分析（BI）等工具平台项目，招聘实施工程师，主要负责工具安装部署、实施、调试、培训、验收等项目实施工作。要求：1 本科以上学历，计算机/软件/网络相关专业。2 深入理解Linux操作系统结构，以及Linux各种命令 。3 熟悉SQL语言，熟悉至少一种数据库管理系统(MySQL/Oracle/DB2)；4 具备一年的客户现场的实际运维经验，对数据中心IT设备和运维工作规范有基本的了解。5 较强的沟通能力，能与客户沟通并了解客户需求。6 具备较强的学习能力，进入到公司后通过培训能够快速掌握软件工具的使用。7 优先条件：了解日志收集分析相关技术和方案（例如splunk、kafka、flume、heka、ELK等）。"
测试开发工程师（python）,赫里普(上海)信息科技有限公司,合资,20-99人,7K-11K,本科,1-3年,全职,https://jobs.zhaopin.com/CC341813734J00128163306.htm,"岗位职责：部门工具开发及维护岗位需求：1.基本的编程能力，熟悉C、C++、Java、C#、python等中一种或多种语言2.有自动化测试软件或工具开发的项目经历3.熟悉ALM或Jenkins者优先4.本科及以上学历5.较好的沟通能力及团队合作能力"
爬虫开发工程师（Python）,上海鲲驰贸易发展有限公司,民营,1000-9999人,10K-20K,本科,3-5年,全职,https://jobs.zhaopin.com/CC194834326J00419596301.htm,"岗位职责:1、负责搭建或维护爬虫系统开发网页数据的自动化爬取脚本2、负责数据的抓取、解析、清洗、入库3、研究设计爬虫模板提高扩展性加快开发效率4、持续优化系统提高系统的稳定性5、与大数据工程师对接，完成实时数据与离线数据的爬取与对接任职资格:1、三年以上爬虫开发，内容提取工作，有电商网站抓取经验者优先2、精通网页抓取原理及技术，熟悉基于COOKIE或JWT网站登录原理3、精通Python，对HTTP协议及HTML有深入的了解4、精通正则表达式，DOM，XPath，CSS5、熟悉scrapy，selenium，常用反爬虫策略6、熟悉高并发、高性能的分布式系统设计及应用，有数据库调优，海量数据储存和7、处理经验者优先8、熟悉python开发框架，django或是flask优先9、具备良好的编程习惯和算法基础，具有较强的分析解决问题能力10、学习能力强，有一定的抗压能力，善于沟通和团队协作，乐于分享"
